category,position_title,tfidf_similarity,embedding_similarity,skill_overlap,length_diff,weighted_skill_overlap,experience_gap,keyword_strength,section_similarity,label
ADVOCATE,CEO/Co-Founder,0.03472123948312341,0.03298517750896724,0.5,0.0,0.5,0.0,0.0,0.0,0
BUSINESS-DEVELOPMENT,"Senior Accountant - Florham Park, NJ",0.06697596317243026,0.06362716501380875,1.0,0.5486666666666666,0.5,0.0,0.0,0.14577994856555235,1
HEALTHCARE,Marketing Advisor,0.07764780131103696,0.07376541124548511,0.5,0.0,0.5,0.0,0.0,0.02300638027184352,0
TEACHER,"Equity Research Associate, Biotech",0.03456049014875548,0.032832465641317705,0.0,0.12933333333333333,0.5,0.0,0.0,0.04677045048075551,0
SALES,Retail Sales Associate (part-time) - 162,0.06170038165897411,0.058615362576025405,0.5,0.0,0.5,0.0,0.0,0.0,1
INFORMATION-TECHNOLOGY,Work From Home Administrative Assistant Skills (Data Entry - Remote),0.06496309561400278,0.06171494083330264,1.0,0.49866666666666665,0.5,10.0,0.0,0.0,1
INFORMATION-TECHNOLOGY,Warehouse Supervisor,0.007308635104091504,0.006943203348886928,0.5,0.0,0.5,0.0,0.0,0.0,0
SALES,Sales Executive Richmond Hotel,0.04580463764565011,0.043514405763367604,0.5,0.0,0.5,0.0,0.0,0.027826218547493595,1
FITNESS,Compliance Manager,0.01417108648108367,0.013462532157029486,0.5,0.36666666666666664,0.5,0.0,0.0,0.0,1
PUBLIC-RELATIONS,Solo Class A CDL Driver,0.04042172826878347,0.038400641855344295,0.5,0.5143333333333333,0.5,0.0,0.0,0.035716437152346084,0
FINANCE,Bank Teller,0.06649515295674142,0.06317039530890435,0.5,0.0,0.5,0.0,0.0,0.0,1
INFORMATION-TECHNOLOGY,"Manager, Data Analytics",0.03605325782924823,0.03425059493778582,0.5,0.5573333333333333,0.5,17.0,0.125,0.0,1
HEALTHCARE,"Advocate, Patient Empowerment- REMOTE",0.0959534260141661,0.09115575471345778,0.5,0.0,0.5,20.0,0.125,0.0652701881686524,1
ADVOCATE,$17.50hr - Patient Advocate - Part Time Position - Mon - Fri ...,0.06516043607567812,0.06190241427189421,0.5,0.7193333333333334,0.5,4.0,0.0,0.0,1
FITNESS,"Career Coach, Alumni Talent Services",0.046639667787245716,0.04430768439788343,0.0,0.0,0.5,12.0,0.125,0.0,1
DESIGNER,Automotive Business Development Center (BDC) Representative,0.04727014244944498,0.044906635326972734,0.0,0.3486666666666667,0.5,0.0,0.125,0.0,0
INFORMATION-TECHNOLOGY,"Systems Administrator, IT (Brooklyn, NY)",0.04784715997926124,0.04545480198029818,0.0,0.097,0.0,0.0,0.0,0.0,1
HEALTHCARE,Data Entry Specialist,0.03296748468884717,0.03131911045440481,0.5,0.21033333333333334,0.5,15.0,0.0,0.009536456145993626,0
ENGINEERING,Medical Receptionist,0.02548014222877201,0.024206135117333407,0.5,0.4266666666666667,0.5,0.0,0.125,0.016392566481737564,0
